commit_fraction,tool_start_p95_reduction_pct,p95_ccl_reduction_pct,semantic_mutations,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p90_ms,candidate_p90_ms,p90_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,baseline_p99_ms,candidate_p99_ms,p99_speedup,baseline_mean_ms,candidate_mean_ms,mean_speedup,baseline_success_rate,candidate_success_rate,success_rate_delta,wasted_call_rate,cost_multiplier,rate_limit_error_rate,input_tokens_baseline,input_tokens_candidate,token_reduction_pct,deopt_rate,tool_start_p50_ms,tool_start_p95_ms,tool_start_speedup_p95,semantic_mutation_rate,p95_reduction_ci,extra_metrics
0.1,90.0,26.071447439493856,0,1365.9490612683194,1005.5253470295038,1.358443191216979,2000.0475997570138,1464.7245180632988,1.3654769720121396,2138.206583443381,1580.7451778931427,1.3526573500564063,2435.690351772799,2017.3564604550593,1.2073673639329836,1426.453026552373,1042.3351049386192,1.368516727292202,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.57537912579204,86.03920093662589,9.999999999999998,0.0,[25.228691255850862, 30.119806809079847],{'commit_fraction': 0.1}
0.2,80.0,23.33894893336552,0,1413.189134098205,1046.3058407125604,1.3506463207122956,1983.2559109794493,1540.7164001240953,1.287229700949318,2350.515042261033,1801.9295368766557,1.3044433725945017,3140.849551228671,2116.905711340685,1.4836983689932506,1498.0919759042472,1120.3229389361504,1.337196556313328,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,95.90564099996598,172.29699040968018,5.0,0.0,[24.451668876329165, 27.562857563054656],{'commit_fraction': 0.2}
0.3,70.0,14.978897389033815,0,1432.5546772074297,1112.5762250895343,1.2876013749908644,2169.999665762575,1812.0995578580187,1.197505764157688,2619.867362752206,2227.440118756767,1.1761785830698201,3149.3989858671816,2778.7098915357114,1.133403309017841,1526.4859627346702,1225.4617596915923,1.2456414495698631,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,127.72537157585549,265.0943161294525,3.3333333333333335,0.0,[18.513470895065563, 21.163990133487538],{'commit_fraction': 0.3}
0.4,59.999999999999986,15.41707166109405,0,1437.5156428619564,1132.5649739153055,1.2692566660369415,2124.3584922652767,1746.5033561276264,1.2163495047472663,2325.8001724539686,1967.2298931728913,1.1822716707007481,2601.8993019633135,2344.1898693407666,1.109935392176667,1518.3401167254153,1225.5659034042292,1.2388890001818371,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,187.0039803055128,361.54735095133714,2.4999999999999996,0.0,[18.380322545918293, 22.385318727403753],{'commit_fraction': 0.4}
0.5,50.0,14.062737875766427,0,1433.4168652937633,1202.606294808482,1.191925297149753,1945.491637178789,1596.3170455899472,1.2187376201698066,2048.6911674735334,1760.5890987077514,1.1636395846011116,2601.645127039144,2391.389493674326,1.08792195245525,1480.4423552926153,1245.7309137068642,1.1884126331001381,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.53779944369444,453.412872944614,2.0,0.0,[14.624689631002767, 16.918854329369474],{'commit_fraction': 0.5}
0.6,39.99999999999999,11.309306189374983,0,1432.7457770631227,1227.1792006141932,1.1675114574514016,1937.2344905516986,1659.7726873445615,1.1671685558647449,2126.845596399927,1886.314115727821,1.1275140119381966,2725.667156641017,2185.3013023430185,1.247272929238011,1474.784861979496,1273.3208629006037,1.1582193498502495,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,265.88234321945566,591.8539071573005,1.6666666666666665,0.0,[12.035044114866436, 14.651994968064006],{'commit_fraction': 0.6}
0.7,29.999999999999993,8.37808741769413,0,1450.8867520520814,1318.565865312349,1.1003521251540875,2002.9292207388492,1816.784106470982,1.10245857700145,2118.97703723366,1941.447288693359,1.0914419616613866,2572.4325919902863,2319.1511908176403,1.1092129750641004,1487.0877360840716,1355.7344142953332,1.0968872077035912,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,285.37085449339037,584.5517428853401,1.4285714285714284,0.0,[8.288150976208447, 9.38653032185675],{'commit_fraction': 0.7}
0.8,19.999999999999986,6.16823300522665,0,1404.4411890971974,1310.3078150560568,1.0718406567979704,2088.1261810239694,1982.9851915920362,1.0530215706490076,2277.343850881712,2136.8719758291268,1.0657371506770221,2390.2285524512395,2296.552193223329,1.0407899979387931,1493.9230007086112,1396.8452024031396,1.0694978929221781,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,377.6059701632092,682.2229329468975,1.2499999999999998,0.0,[5.9280536585824875, 7.366888016339675],{'commit_fraction': 0.8}
0.9,9.999999999999995,2.623241460473238,0,1478.7635707001664,1413.0838547729686,1.0464797016152663,2033.5261761137974,1983.835020272417,1.0250480283559853,2462.7611437063524,2398.1569723122225,1.0269390920360983,2907.893798583488,2844.0290971528457,1.022455713091887,1526.6169643902228,1474.7696472331127,1.0351562138903412,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,397.8051165105329,877.3139329356984,1.1111111111111112,0.0,[3.105810028646961, 3.6738168473643156],{'commit_fraction': 0.9}
1.0,0.0,0.0,0,1342.2159493897236,1342.2159493897236,1.0,2072.3718417423643,2072.3718417423643,1.0,2186.91959014737,2186.91959014737,1.0,2673.621103840682,2673.621103840682,1.0,1465.0465102353537,1465.0465102353537,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,481.1931421017025,1001.7400186335526,1.0,0.0,[0.0, 0.0],{'commit_fraction': 1.0}
