contention_mode,prediction_accuracy,p95_reduction_pct,mean_tool_cost_multiplier,wasted_call_rate,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p90_ms,candidate_p90_ms,p90_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,baseline_p99_ms,candidate_p99_ms,p99_speedup,baseline_mean_ms,candidate_mean_ms,mean_speedup,baseline_success_rate,candidate_success_rate,success_rate_delta,cost_multiplier,rate_limit_error_rate,input_tokens_baseline,input_tokens_candidate,token_reduction_pct,deopt_rate,tool_start_p50_ms,tool_start_p95_ms,tool_start_speedup_p95,semantic_mutation_rate,extra_metrics
no_contention,0.0,0.0,2.0,1.0,1432.9559981797074,1432.9559981797074,1.0,2041.6313304274493,2041.6313304274493,1.0,2264.9470570840567,2264.9470570840567,1.0,2762.4600546466268,2762.4600546466268,1.0,1491.047175579693,1491.047175579693,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.0}
no_contention,0.05,0.6515432407217809,1.9514,0.9514,1433.4173192966819,1416.5955485340914,1.011874787253142,2048.3544219725272,2032.2807920871169,1.0079091580002106,2267.118597716865,2252.3473397342946,1.00655816166627,2779.404164466277,2765.8040413503177,1.0049172403079285,1492.3698466935607,1474.5351400850736,1.0120951384091519,1.0,1.0,0.0,1.9514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.05}
no_contention,0.1,1.180551825919978,1.89874,0.89874,1435.9338907612205,1399.7072818062625,1.025881560684752,2046.6012576323144,2016.9831094686886,1.014684380858017,2273.6574675680804,2246.8157628195395,1.011946553514854,2762.4730925183458,2726.8141821778036,1.013077132491684,1494.3206689432216,1456.331878464967,1.0260852564171679,1.0,1.0,0.0,1.89874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.1}
no_contention,0.15000000000000002,1.9772066019409604,1.849,0.849,1433.2513429803626,1380.3845046243277,1.0382986321412109,2043.7487458600567,1999.180048159543,1.0222934886437787,2265.7121591866453,2220.914348794228,1.0201708861112717,2741.8489385680773,2694.954803407197,1.0174007130292475,1491.2370807451034,1435.0085323139283,1.0391834244640397,1.0,1.0,0.0,1.849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.15000000000000002}
no_contention,0.2,2.70143820503277,1.80242,0.80242,1436.9272451438942,1363.400351163293,1.0539290560676957,2046.7439068695962,1987.657190871033,1.029726814196099,2267.9656387332216,2206.697948491467,1.0277644207190377,2752.300728789546,2682.272446835788,1.0261078184046402,1493.625539278562,1419.7946658176138,1.052001092297689,1.0,1.0,0.0,1.80242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.2}
no_contention,0.25,3.2029313114215854,1.75206,0.75206,1434.8427432023786,1345.6337722784065,1.0662951337591096,2047.3082312134413,1969.641004654919,1.0394321738707555,2269.6252198512743,2196.930683032737,1.033089135392377,2773.2204907032715,2699.202230128423,1.0274222730511477,1494.0739592210293,1402.1759887194908,1.0655395408571091,1.0,1.0,0.0,1.75206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.25}
no_contention,0.30000000000000004,3.928581022484538,1.7014,0.7014,1433.087436970908,1325.9423546731937,1.0808067424048178,2052.1225264354566,1956.3085324524675,1.0489769340538913,2274.6530303103186,2185.291443034178,1.0408922972544414,2765.44527255016,2689.3287845213868,1.02830315447738,1495.6027185711825,1385.0017919247707,1.0798561614080708,1.0,1.0,0.0,1.7014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.30000000000000004}
no_contention,0.35000000000000003,4.762605802965091,1.65218,0.65218,1435.343593940554,1303.00799004692,1.1015616211907255,2042.7816113176855,1939.2839185696098,1.0533690254206893,2265.5636021098935,2157.663738525943,1.050007729034583,2764.9912995889936,2668.8092000637043,1.0360393315202125,1494.0539006407082,1364.991658354389,1.0945516710643597,1.0,1.0,0.0,1.65218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.35000000000000003}
no_contention,0.4,5.600214638318719,1.59988,0.59988,1431.088213469655,1280.4209592883594,1.1176700936425115,2051.2029661150254,1916.201241688677,1.0704527903903123,2285.1890285922523,2157.2135380997756,1.059324442495946,2781.9061020347503,2657.366438038401,1.0468658225729235,1493.0838134572766,1344.828415729089,1.1102411251831052,1.0,1.0,0.0,1.59988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.4}
no_contention,0.45,6.337022388202504,1.5467,0.5467,1433.2076207616228,1261.7577574740046,1.1358817588178376,2043.395362855894,1894.3038092678898,1.0787051965258019,2258.486856399176,2115.366038674549,1.0676577079843372,2753.270521221076,2599.2660539968665,1.059249212671938,1492.8924993534445,1324.8190870477813,1.1268651802716678,1.0,1.0,0.0,1.5467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,{'contention_mode': 'no_contention', 'accuracy': 0.45}
