commit_fraction,tool_start_p95_reduction_pct,p95_ccl_reduction_pct,semantic_mutations,baseline_p50_ms,candidate_p50_ms,p50_speedup,baseline_p90_ms,candidate_p90_ms,p90_speedup,baseline_p95_ms,candidate_p95_ms,p95_speedup,baseline_p99_ms,candidate_p99_ms,p99_speedup,baseline_mean_ms,candidate_mean_ms,mean_speedup,baseline_success_rate,candidate_success_rate,success_rate_delta,wasted_call_rate,cost_multiplier,rate_limit_error_rate,input_tokens_baseline,input_tokens_candidate,token_reduction_pct,deopt_rate,tool_start_p50_ms,tool_start_p95_ms,tool_start_speedup_p95,semantic_mutation_rate,extra_metrics
0.1,90.0,23.45800512664742,0,1434.6212564353727,1042.5219409290721,1.3761065356158073,2048.938714106286,1545.3072900978666,1.3259102103740958,2270.7917708068153,1738.1093207954648,1.306472351099045,2751.6127549919506,2189.7194590665117,1.2566051525910888,1493.371893239153,1099.9546459007001,1.3576667899941477,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,44.98866292861335,94.08889762924098,9.999999999999998,0.0,{'commit_fraction': 0.1}
0.2,80.0,21.41757687436215,0,1432.9164476642022,1075.052988569022,1.3328798328085425,2042.425978179607,1583.404647967445,1.2898951514392671,2261.204314852396,1776.90914243249,1.2725492040391737,2754.4479529797673,2226.0027596701184,1.2373964681822593,1491.9491314124757,1131.6032225457056,1.3184383904953183,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89.75897138935434,189.1219910172641,4.999999999999999,0.0,{'commit_fraction': 0.2}
0.3,69.99999999999999,19.37326897998279,0,1432.3865628078029,1111.5041032894565,1.288692105201147,2045.1998074099176,1632.090366432661,1.2531167694348995,2270.382717010722,1830.5353663691933,1.2402834486142442,2775.2446719091226,2303.246366213118,1.204927407080659,1493.9105439968466,1169.589163755576,1.2772951308815719,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,135.47263166117511,283.2284118494809,3.3333333333333326,0.0,{'commit_fraction': 0.3}
0.4,60.0,17.30577139904681,0,1436.867518312625,1153.8505478877532,1.2452804402987583,2054.4322876127644,1685.9583228659726,1.2185546106029599,2281.6640090849696,1886.8044515783981,1.2092742346331935,2762.2041008323827,2327.898920589888,1.1865653084853196,1495.9619495802492,1209.4924094010287,1.2368510442501144,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,180.90385260167307,379.7029777259902,2.4999999999999996,0.0,{'commit_fraction': 0.4}
0.5,50.0,14.710856100283445,0,1432.0724225325207,1193.2663554992787,1.2001280484718957,2047.5269879694958,1736.7171777952617,1.1789639753369647,2268.91343159634,1935.1368416341995,1.172482163938479,2749.0132940108397,2391.5430733412304,1.14947262487319,1493.122814425724,1250.7801722859006,1.193753185019653,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,225.00780125559828,470.7687338916136,2.0,0.0,{'commit_fraction': 0.5}
0.6,40.0,12.198290141964355,0,1434.3069093607942,1240.4718324739488,1.15625915221329,2042.9962096493873,1790.8341619366972,1.1408070345497483,2263.5630334562948,1987.4470470890462,1.1389299839568894,2748.9474334547813,2447.7722243531716,1.1230405370668,1491.4947030705828,1294.9378646239436,1.151788625397652,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,269.13248740673754,568.0907369417725,1.6666666666666665,0.0,{'commit_fraction': 0.6}
0.7,30.000000000000004,9.43361744332131,0,1436.0274471579805,1289.6638288617264,1.1134897443975276,2049.545652652713,1852.0525859279378,1.1066346972139698,2271.6278557431965,2057.3311740964605,1.1041624626821935,2759.42465721419,2518.269114320744,1.095762419322882,1494.418246587229,1345.435075568422,1.1107323376089808,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,315.2979659545216,664.6641010409197,1.4285714285714286,0.0,{'commit_fraction': 0.7}
0.8,19.999999999999986,6.55236018547248,0,1434.5043156271522,1336.9318920742999,1.0729823442250788,2044.287281610937,1912.302615944251,1.0690187131295195,2262.8773735742434,2114.6054975020993,1.0701179847717657,2752.905480816267,2583.038054196509,1.065762649661233,1491.1084939033096,1391.495191397348,1.0715872416389232,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,360.695838684121,752.4449216215622,1.2499999999999998,0.0,{'commit_fraction': 0.8}
0.9,10.0,3.187771130822049,0,1433.3907272702752,1384.875944511878,1.0350318618434065,2042.541414258576,1974.3062670874135,1.0345615816090308,2269.010406527877,2196.6795478332333,1.0329273601905156,2765.7372777371443,2681.906954289512,1.0312577299945294,1493.382354612445,1443.4922160162025,1.0345621112761736,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,405.0982171640994,853.6323601618751,1.1111111111111112,0.0,{'commit_fraction': 0.9}
1.0,0.0,0.0,0,1435.589746919134,1435.589746919134,1.0,2042.9501343634777,2042.9501343634777,1.0,2264.8759264931236,2264.8759264931236,1.0,2771.69682024502,2771.69682024502,1.0,1492.9420544723362,1492.9420544723362,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,450.45889188124465,939.6202195481964,1.0,0.0,{'commit_fraction': 1.0}
